"","endTime","artistName","trackName","msPlayed"
"298","2019-08-09 08:51","Rex Orange County","Loving Is Easy",155720
"300","2019-08-09 08:56","Rex Orange County","Best Friend",262231
"301","2019-08-09 08:59","Olli Schulz","Wenn es gut ist",158840
"302","2019-08-09 09:03","Hozier","Take Me To Church",241688
"303","2019-08-09 09:06","Granada","Ottakring",232466
"304","2019-08-09 09:10","Summer Cem","Casanova",206813
"305","2019-08-09 09:14","Kings of Leon","Use Somebody",230760
"306","2019-08-09 09:15","Swedish House Mafia","Save The World",92714
"307","2019-08-11 12:43","Swedish House Mafia","Save The World",54915
"308","2019-08-11 12:47","Kraftklub","Schüsse in die Luft",259357
"309","2019-08-11 12:52","Kraftklub","Kein Liebeslied",258360
"310","2019-08-11 12:54","Kraftklub","Songs für Liam",142308
"311","2019-08-17 17:04","Kraftklub","Songs für Liam",165186
"313","2019-08-17 17:08","Josh.","Cordula Grün",213848
"314","2019-08-17 17:10","Chase & Status","Against All Odds",161720
"322","2019-08-17 17:11","Zonoma","Don't Let Me Down - Tropical House Mix",10815
"324","2019-08-17 17:13","Michael Calfan","Nobody Does It Better",148292
"327","2019-08-17 17:15","Frittenbude","Mindestens in 1000 Jahren",80550
"336","2019-08-17 17:19","Prismo","Senses",18597
"337","2019-08-17 17:19","The Chainsmokers","Closer",244960
"338","2019-08-17 17:21","FlicFlac","So High",97036
"341","2019-08-17 17:25","Liam Gallagher","Wall Of Glass",223546
"342","2019-08-17 17:29","Red Hot Chili Peppers","Dani California",280569
"343","2019-08-17 17:33","Bilderbuch","eine nacht in manila",231680
"344","2019-08-17 17:37","Diplo","Be Right There (Boombox Cartel Remix)",210993
"345","2019-08-17 17:40","Bastille","Bad Decisions",189728
"346","2019-08-17 17:43","Arctic Monkeys","I Bet You Look Good On The Dancefloor",173680
"347","2019-08-17 17:46","Two Door Cinema Club","What You Know",189693
"348","2019-08-17 17:50","Noel Gallagher's High Flying Birds","Holy Mountain",234880
"349","2019-08-17 17:53","Juju","Vermissen (feat. Henning May)",153504
"351","2019-08-17 17:53","Alligatoah","Du bist schön",31068
"352","2019-08-17 17:57","Macklemore & Ryan Lewis","White Walls (feat. ScHoolboy Q, Hollis)",220319
"353","2019-08-17 17:59","Billy Joel","We Didn't Start the Fire",116729
"354","2019-08-17 18:01","Jubël","Dancing in the Moonlight",148352
"355","2019-08-17 18:06","Macklemore & Ryan Lewis","Downtown (feat. Melle Mel, Grandmaster Caz, Kool Moe Dee & Eric Nally)",292593
"356","2019-08-17 18:09","Jubël","Dancing in the Moonlight",162412
"357","2019-08-17 18:12","Lost Frequencies","Like I Love You",190173
"358","2019-08-17 18:16","T»MA a.k.a. Falco","Mutter, der Mann mit dem Koks ist da - Mother's Favourite",219760
"359","2019-08-17 18:19","Dimitri Vegas & Like Mike","Instagram",184558
"360","2019-08-17 18:23","Macklemore & Ryan Lewis","Can't Hold Us - feat. Ray Dalton",258342
"362","2019-08-17 18:24","Kraftklub","Dein Lied",43800
"363","2019-08-17 18:26","Macklemore & Ryan Lewis","Same Love - feat. Mary Lambert",135674
"364","2019-08-17 18:28","Sandro Cavazza","Enemy",110155
"365","2019-08-17 18:29","Martin Garrix","No Sleep (feat. Bonn)",91416
"366","2019-08-17 18:33","Why Don't We","Unbelievable",189384
"367","2019-08-17 18:33","Josh.","Cordula Grün",12492
"369","2019-08-17 18:36","Eminem","Guts Over Fear",136115
